,business_name,address,zipcode,business_type,website,city_name
0,Sweet Georgia's Juke Joint,"200 Peachtree Street, GA 30303",GA 30303,"Restaurant, Bar",https://www.sweetgeorgiasjukejoint.com/,Atlanta
1,"Dawson's Management, Inc","50 Hurt Plaza Ste 1436, GA 30303",GA 30303,Misc. Professional Services,https://www.dawsonsmanagement.com/,Atlanta
2,"Elite World Staffing & Training, LLC","135 Auburn Ave NE, GA 30303",GA 30303,Misc. Professional Services,https://ewstaffing.business.site/,Atlanta
3,Mangos Caribbean Restaurant,"180 Auburn Avenue Northeast, GA 30303",GA 30303,"Restaurant, Caribbean",https://www.mangoscaribbeanrestaurant.com/,Atlanta
4,Bqe Lounge,"262 Edgewood Avenue Northeast, GA 30303",GA 30303,"Restaurant, Soul Food",https://www.bqelounge.com/,Atlanta
5,Old Lady Gang,"177 Peters Street Southwest, GA 30313",GA 30313,"Restaurant, Soul Food",https://oldladygang.com/,Atlanta
6,Journey Unlimited,"191 Peachtree St NE None, GA 30303",GA 30303,Other,https://journeyunlimited.com/,Atlanta
7,Blue Scorpion Reputation Management,"191 Peachtree St 49th Floor, GA 30303",GA 30303,Marketing & PR,https://www.bluereputaion.today/,Atlanta
8,JAE Financial Group,"191 Peachtree St NE Ste 3975, GA 30303",GA 30303,Other,https://none/,Atlanta
9,Bryant Group Ventures,"191 Peachtree Street NE Suite 3840, GA 30313",GA 30313,Financial Services,https://www.bryantgroupventures.com/,Atlanta
10,"Georgia Team Builders, LLC","314 Auburn Avenue None, GA 30303",GA 30303,Entertainment & Media,https://atlantaroomescape.com/,Atlanta
11,Citizens Trust Bank,"230 Peachtree St, NW, GA 30303",GA 30303,Bank,https://ctbconnect.com/,Atlanta
12,Harold's Chicken & Bar,"349 Edgewood Avenue Southeast, GA 30312",GA 30312,"Restaurant, Fast Food",https://www.haroldschickenatl.com/,Atlanta
13,Allen Reid Enterprises,"234 Peachtree St Ne Suite 400, GA 30303",GA 30303,Misc. Professional Services,https://allenreidenterprises.com/,Atlanta
14,Fin & Feathers,"360 Edgewood Avenue Southeast, GA 30312",GA 30312,"Seafood, Bar, Dining, Restaurant, Soul Food",https://www.finandfeathersrestaurants.com/,Atlanta
15,Jutox Bar Castleberry Hill,"239 Walker Street Southwest, GA 30313",GA 30313,"Restaurant, Juice Bar",https://jutoxbarcastleberry.com/,Atlanta
16,"SeeJones Creative, LLC","318 Cherokee Avenue SE Suite #104, GA 30312",GA 30312,Business Services,https://www.seejoneswork.com/,Atlanta
17,Rosie's Coffee Café,"48 Northside Drive Southwest, GA 30313",GA 30313,"Restaurant, Coffee Shop, Cafe",https://www.rosiescoffeecafe.com/,Atlanta
18,"Tom, Dick & Hank","191 Ralph David Abernathy Boulevard Southwest, GA 30312",GA 30312,"Restaurant, Bbq",https://tomdickandhank.com/,Atlanta
